HR_UID,nameid,province,region,analysisTime,dates,compute_time,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975
3563,CanadaOntarioTimiskaming,Ontario,Timiskaming,2020-09-22 23:29:20.684659,2020-09-22 00:00:00.000000,0:20:00.375140,0.00000000,0.00000001,0.00003044,0,0,0
3565,CanadaOntarioWaterloo,Ontario,Waterloo,2020-09-22 23:43:02.274851,2020-09-22 00:00:00.000000,0:33:40.280489,0.06456540,0.07598107,0.25850156,373,440,1497
3566,CanadaOntarioWellingtonDufferinGuelph,Ontario,Wellington Dufferin Guelph,2020-09-22 23:40:05.621211,2020-09-22 00:00:00.000000,0:30:44.872936,0.08130622,0.20825980,0.66121980,246,632,2006
3568,CanadaOntarioWindsor-Essex,Ontario,Windsor-Essex,2020-09-22 23:49:41.285263,2020-09-22 00:00:00.000000,0:40:21.250860,0.01079433,0.03404388,0.10517456,45,144,445
3570,CanadaOntarioYork,Ontario,York,2020-09-22 23:48:48.589121,2020-09-22 00:00:00.000000,0:39:27.265919,0.09592017,0.18027130,0.31097405,1103,2074,3579
1100,CanadaPEIPrinceEdwardIsland,PEI,Prince Edward Island,2020-09-22 23:31:09.067437,2020-09-22 00:00:00.000000,0:21:51.598705,0.00000027,0.00003849,0.00057167,0,0,0
2403,CanadaQuebecCapitale-Nationale,Quebec,Capitale-Nationale,2020-09-23 00:09:06.929089,2020-09-23 00:00:00.000000,0:45:43.624976,0.28349408,0.43541530,0.76950353,2112,3244,5733
2412,CanadaQuebecChaudière-Appalaches,Quebec,Chaudière-Appalaches,2020-09-22 23:50:15.729997,2020-09-22 00:00:00.000000,0:40:59.021877,0.20691845,0.33519923,0.64216334,881,1428,2736
2405,CanadaQuebecEstrie,Quebec,Estrie,2020-09-22 23:43:16.616305,2020-09-22 00:00:00.000000,0:33:57.034942,0.10987877,0.19927720,0.33680933,532,965,1632
2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-22 23:42:12.675543,2020-09-22 00:00:00.000000,0:32:54.294758,0.07719640,0.23002498,0.53664582,70,208,486
